City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ayan,96,RU,21-10-2020,75,56.45,138.17,37.06,9.91
Marinette,90,US,21-10-2020,81,45.1,-87.63,42.8,12.75
Mana,96,GF,21-10-2020,79,5.66,-53.78,80.17,12.15
Praia,95,CV,21-10-2020,78,14.92,-23.51,80.6,9.17
Sola,46,VU,21-10-2020,80,-13.88,167.55,79.52,13.02
San Policarpo,100,PH,21-10-2020,74,12.18,125.51,85.62,13.02
Salalah,1,OM,21-10-2020,47,17.02,54.09,77.0,3.36
Snezhnogorsk,90,RU,21-10-2020,100,69.19,33.25,28.4,4.72
Chernyshevskiy,99,RU,21-10-2020,94,63.01,112.47,17.49,6.78
Todos Santos,0,MX,21-10-2020,86,23.45,-110.22,79.0,2.84
Chapais,90,CA,21-10-2020,98,49.78,-74.85,32.0,2.24
Havre-St-Pierre,40,CA,21-10-2020,93,50.23,-63.6,41.0,18.34
Chornobayivka,0,UA,21-10-2020,86,46.69,32.55,39.2,6.71
Sisimiut,100,GL,21-10-2020,91,66.94,-53.67,33.08,26.69
Hamilton,90,US,21-10-2020,93,39.18,-84.53,55.99,5.01
Bouza,0,NE,21-10-2020,15,14.42,6.04,83.62,6.96
Lorengau,96,PG,21-10-2020,67,-2.02,147.27,84.67,2.86
Upernavik,100,GL,21-10-2020,95,72.79,-56.15,32.43,3.09
Ylivieska,100,FI,21-10-2020,92,64.08,24.55,34.0,4.0
Kungurtug,91,RU,21-10-2020,88,50.6,97.52,29.08,0.83
Kruisfontein,0,ZA,21-10-2020,90,-34.0,24.73,46.99,1.01
Powell River,75,CA,21-10-2020,100,49.85,-124.54,48.2,4.16
San Francisco,20,US,21-10-2020,63,37.77,-122.42,69.8,9.17
Santa Rosa,90,PH,21-10-2020,88,14.31,121.11,82.0,8.05
San Rafael,0,AR,21-10-2020,56,-34.62,-68.33,55.2,8.34
Pecos,1,US,21-10-2020,44,31.42,-103.49,78.8,9.17
Pervomayskoye,99,RU,21-10-2020,66,43.92,46.71,55.35,5.48
Korgen,98,NO,21-10-2020,68,66.08,13.82,28.4,16.11
Buraidah,0,SA,21-10-2020,38,26.33,43.98,60.8,3.36
Santiago de Chuco,99,PE,21-10-2020,72,-8.15,-78.18,53.1,1.81
Baláo,88,EC,21-10-2020,83,-2.92,-79.82,72.39,5.86
Bartica,20,GY,21-10-2020,94,6.4,-58.62,77.0,6.93
Chapleau,100,CA,21-10-2020,90,47.84,-83.4,32.18,5.99
Rawson,0,AR,21-10-2020,59,-43.3,-65.1,50.67,16.44
Mount Isa,0,AU,21-10-2020,13,-20.73,139.5,98.6,8.05
Kavieng,99,PG,21-10-2020,78,-2.57,150.8,81.48,8.61
Juegang,100,CN,21-10-2020,79,32.32,121.19,60.94,3.94
Narsaq,100,GL,21-10-2020,86,60.92,-46.05,30.2,2.24
Bloemhof,45,ZA,21-10-2020,64,-27.65,25.61,57.02,7.14
Byron Bay,0,AU,21-10-2020,56,-28.65,153.62,80.01,12.75
Torbay,75,CA,21-10-2020,93,47.67,-52.73,59.0,19.46
Matata,100,NZ,21-10-2020,83,-37.88,176.75,69.01,1.99
Aden,1,YE,21-10-2020,52,12.78,45.04,83.98,4.21
Bay Roberts,100,CA,21-10-2020,93,47.6,-53.26,57.99,5.99
Itoman,75,JP,21-10-2020,66,26.12,127.67,84.2,18.34
Colares,0,PT,21-10-2020,98,38.8,-9.45,61.0,13.24
Kieta,99,PG,21-10-2020,68,-6.22,155.63,84.56,4.81
Kloulklubed,90,PW,21-10-2020,83,7.04,134.26,82.4,4.7
Camocim,0,BR,21-10-2020,82,-2.9,-40.84,75.72,10.92
Majene,100,ID,21-10-2020,64,-3.54,118.97,85.82,8.95
Saiha,99,IN,21-10-2020,84,22.48,92.97,74.71,1.81
Sungurlu,96,TR,21-10-2020,75,40.17,34.37,53.28,7.85
Belmonte,75,BR,21-10-2020,88,-15.86,-38.88,73.4,4.7
Santa Fe,100,AR,21-10-2020,73,-31.63,-60.7,57.99,4.0
Presidencia Roque Sáenz Peña,34,AR,21-10-2020,69,-26.79,-60.44,78.75,9.62
Fes,90,MA,21-10-2020,72,34.04,-5.0,68.0,3.36
Bastrop,1,US,21-10-2020,100,32.76,-91.87,68.0,3.47
Te Anau,9,NZ,21-10-2020,50,-45.42,167.72,54.43,6.62
Ruffano,5,IT,21-10-2020,93,39.98,18.25,48.2,1.12
Ubari,31,LY,21-10-2020,59,26.59,12.78,65.52,10.0
Mandalgovi,0,MN,21-10-2020,80,45.76,106.27,31.14,17.72
Kodino,85,RU,21-10-2020,98,63.72,39.64,28.56,6.33
Bengkulu,39,ID,21-10-2020,62,-3.8,102.27,85.08,4.16
Seymchan,36,RU,21-10-2020,90,62.88,152.43,21.65,4.09
Mildura,75,AU,21-10-2020,24,-34.2,142.15,81.0,4.7
Luzhou,6,CN,21-10-2020,61,28.87,105.44,68.22,2.35
Itacarambi,30,BR,21-10-2020,70,-15.1,-44.09,73.96,4.88
Biharia,88,RO,21-10-2020,86,47.15,21.92,41.0,6.93
Scarborough,100,GB,21-10-2020,93,54.28,-0.4,55.99,1.99
Bataiporã,0,BR,21-10-2020,83,-22.3,-53.27,71.73,4.99
Tual,100,ID,21-10-2020,86,-5.67,132.75,77.83,8.86
Kandé,64,TG,21-10-2020,79,9.96,1.04,73.56,2.42
Tura,0,IN,21-10-2020,73,25.52,90.22,82.33,1.57
Tazmalt,0,DZ,21-10-2020,33,36.39,4.4,71.6,11.41
Port Hedland,71,AU,21-10-2020,58,-20.32,118.57,86.0,17.22
Winsum,100,NL,21-10-2020,92,53.33,6.52,57.0,1.01
Rafaela,100,AR,21-10-2020,62,-31.25,-61.49,55.99,5.01
Baykit,99,RU,21-10-2020,94,61.67,96.37,26.55,2.33
Santa Cruz do Capibaribe,100,BR,21-10-2020,94,-7.96,-36.2,66.15,4.65
Husavik,63,IS,21-10-2020,92,66.04,-17.34,23.0,3.36
Chui,100,UY,21-10-2020,72,-33.7,-53.46,58.15,13.47
Ughelli,96,NG,21-10-2020,96,5.49,6.01,74.97,2.21
Alice Springs,40,AU,21-10-2020,24,-23.7,133.88,95.0,18.34
Alberton,100,CA,21-10-2020,89,46.82,-64.07,52.38,11.3
Souillac,40,MU,21-10-2020,83,-20.52,57.52,73.4,10.29
Ovalle,0,CL,21-10-2020,71,-30.6,-71.2,53.69,1.43
Paraná,100,AR,21-10-2020,77,-31.73,-60.52,57.0,4.0
North Myrtle Beach,20,US,21-10-2020,88,33.82,-78.68,73.4,4.7
Alamogordo,1,US,21-10-2020,15,32.9,-105.96,71.6,3.36
Sergeevka,2,KZ,21-10-2020,87,53.88,67.42,42.49,7.56
Laas,20,IT,21-10-2020,93,46.62,10.7,48.99,5.82
Härnösand,100,SE,21-10-2020,93,62.63,17.94,45.0,3.36
Vestmannaeyjar,100,IS,21-10-2020,72,63.44,-20.27,38.28,4.68
Palu,100,ID,21-10-2020,56,-0.89,119.87,89.02,3.06
San Antonio,1,US,21-10-2020,61,29.42,-98.49,80.6,12.75
Champasak,75,LA,21-10-2020,78,14.75,106.0,80.6,4.7
Aykhal,90,RU,21-10-2020,91,66.0,111.5,3.2,2.24
Viedma,72,AR,21-10-2020,71,-40.81,-63.0,47.82,9.55
Petropavlovsk-Kamchatskiy,0,RU,21-10-2020,36,53.05,158.65,44.6,20.13
Lieto,90,FI,21-10-2020,93,60.51,22.46,37.4,10.29
Guerrero Negro,0,MX,21-10-2020,86,27.98,-114.06,69.82,14.34
Spokoynaya,45,RU,21-10-2020,86,44.25,41.4,40.51,3.29
Yovon,0,TJ,21-10-2020,70,38.31,69.04,51.8,3.04
Bad Doberan,75,DE,21-10-2020,100,54.11,11.9,54.0,6.93
Tuktoyaktuk,90,CA,21-10-2020,92,69.45,-133.04,23.0,17.22
Srednekolymsk,69,RU,21-10-2020,96,67.45,153.68,18.99,4.34
Quatre Cocos,40,MU,21-10-2020,83,-20.21,57.76,75.99,10.29
Voh,47,NC,21-10-2020,61,-20.97,164.7,76.96,5.08
Abu Kamal,0,SY,21-10-2020,35,34.45,40.92,69.28,8.95
Bara,13,NG,21-10-2020,64,10.37,10.73,72.54,2.8
Villacarrillo,94,ES,21-10-2020,78,38.12,-3.08,59.99,5.88
Holguín,75,CU,21-10-2020,94,20.89,-76.26,77.0,2.24
Mahabad,0,IR,21-10-2020,51,36.76,45.72,46.96,0.58
Tartagal,73,AR,21-10-2020,88,-22.52,-63.8,70.5,6.22
Rørvik,99,NO,21-10-2020,74,64.86,11.24,38.98,21.56
Kudahuvadhoo,71,MV,21-10-2020,79,2.67,72.89,82.26,13.33
Malayal,75,PH,21-10-2020,83,7.21,121.94,82.4,5.82
Adré,1,TD,21-10-2020,22,13.47,22.2,71.56,8.19
Camacha,40,PT,21-10-2020,93,33.08,-16.33,62.6,5.82
La Ronge,90,CA,21-10-2020,73,55.1,-105.28,24.8,4.7
Liyang,100,CN,21-10-2020,93,29.71,118.29,60.15,0.13
Goundi,0,TD,21-10-2020,67,9.36,17.37,72.05,3.51
Okhotsk,98,RU,21-10-2020,77,59.38,143.3,28.65,6.35
Dzhebariki-Khaya,100,RU,21-10-2020,87,62.22,135.8,20.66,5.68
Aleksandrov Gay,2,RU,21-10-2020,71,50.15,48.57,39.36,10.42
St. George's,20,GD,21-10-2020,74,12.06,-61.75,84.2,18.34
Zimovniki,0,RU,21-10-2020,68,47.15,42.46,41.67,7.07
Abaza,20,RU,21-10-2020,62,52.66,90.09,43.11,3.38
Rio Grande,100,BR,21-10-2020,84,-32.03,-52.1,63.0,8.01
Dalby,40,AU,21-10-2020,49,-27.18,151.27,73.4,13.87
Radford,1,US,21-10-2020,87,37.13,-80.58,60.01,2.1
Fonte Boa,86,BR,21-10-2020,87,-2.5,-66.27,73.54,0.85
Terrace Bay,100,CA,21-10-2020,84,48.78,-87.1,35.91,7.61
‘Āhuimanu,90,US,21-10-2020,100,21.44,-157.84,82.4,9.17
Guane,47,CU,21-10-2020,87,22.2,-84.09,77.13,10.4
Nemuro,20,JP,21-10-2020,54,43.32,145.57,57.2,8.05
Ourinhos,1,BR,21-10-2020,86,-22.98,-49.87,68.81,4.74
Koygorodok,100,RU,21-10-2020,99,60.45,51.0,31.15,7.61
Hofn,27,IS,21-10-2020,74,64.25,-15.21,35.78,6.33
Lucea,20,JM,21-10-2020,74,18.45,-78.17,80.6,6.93
Jakar,0,BT,21-10-2020,37,27.55,90.75,63.25,1.14
Vicuña,0,CL,21-10-2020,93,-30.03,-70.71,53.6,3.36
Nur-Sultan,49,KZ,21-10-2020,63,51.18,71.45,30.2,6.71
Khor,100,RU,21-10-2020,52,47.89,134.95,56.19,12.46
Nipawin,75,CA,21-10-2020,63,53.37,-104.0,26.6,4.7
Lazarev,66,RU,21-10-2020,66,52.23,141.51,49.21,22.73
Lapinig,100,PH,21-10-2020,62,12.32,125.3,89.76,6.26
Dawson Creek,75,CA,21-10-2020,92,55.77,-120.24,24.8,4.7
Tabasalu,40,EE,21-10-2020,93,59.43,24.53,37.4,6.93
Najrān,0,SA,21-10-2020,29,17.49,44.13,60.8,2.24
Jalu,0,LY,21-10-2020,66,29.03,21.55,64.2,10.54
Marabá,10,BR,21-10-2020,63,-5.37,-49.12,78.8,2.95
Sonoita,0,MX,21-10-2020,24,31.85,-112.83,74.01,1.23
Tambun,40,ID,21-10-2020,83,-6.26,107.07,95.0,3.36
Ambovombe,0,MG,21-10-2020,77,-25.17,46.08,70.09,2.06
Manono,100,CD,21-10-2020,93,-7.3,27.42,69.26,3.29
Kamaishi,20,JP,21-10-2020,58,39.27,141.88,59.0,3.36
Svetlaya,100,RU,21-10-2020,67,46.54,138.33,55.53,13.31
Marang,20,MY,21-10-2020,74,5.21,103.21,86.0,3.36
Troitsko-Pechorsk,84,RU,21-10-2020,98,62.71,56.2,26.15,4.12
Ulety,85,RU,21-10-2020,82,51.36,112.48,27.79,11.1
Marhaura,40,IN,21-10-2020,74,25.97,84.87,78.8,3.74
Honningsvåg,36,NO,21-10-2020,74,70.98,25.97,38.41,4.21
Johnstown,90,US,21-10-2020,82,40.33,-78.92,60.8,4.7
Kuminskiy,93,RU,21-10-2020,92,58.67,66.57,33.84,5.95
Qobustan,75,AZ,21-10-2020,82,40.08,49.41,59.0,13.87
Sidi Ali,99,DZ,21-10-2020,33,36.1,0.42,69.58,11.63
Porto Velho,10,BR,21-10-2020,94,-8.76,-63.9,77.0,2.24
Pangnirtung,100,CA,21-10-2020,94,66.15,-65.71,24.84,3.85
Suruç,0,TR,21-10-2020,45,36.98,38.42,64.4,11.41
Ukiah,1,US,21-10-2020,29,39.15,-123.21,77.0,2.73
Havøysund,19,NO,21-10-2020,92,71.0,24.66,24.8,6.93
Ust-Tsilma,94,RU,21-10-2020,96,65.44,52.15,23.77,3.76
Altamirano,89,MX,21-10-2020,100,16.88,-92.15,56.64,1.99
Jumilla,100,ES,21-10-2020,70,38.48,-1.32,57.0,4.29
Arlit,0,NE,21-10-2020,13,18.74,7.39,84.42,6.44
Lavrentiya,97,RU,21-10-2020,94,65.58,-171.0,38.34,6.4
Berlevåg,96,NO,21-10-2020,80,70.86,29.09,36.93,1.5
Cidreira,78,BR,21-10-2020,94,-30.18,-50.21,68.41,5.95
Susanville,1,US,21-10-2020,28,40.42,-120.65,59.0,3.36
Vitim,100,RU,21-10-2020,95,59.45,112.56,27.39,9.95
Corn Island,100,NI,21-10-2020,75,12.17,-83.04,83.46,4.27
Sémbé,75,CG,21-10-2020,93,1.65,14.58,70.3,2.68
Matagami,1,CA,21-10-2020,100,49.75,-77.63,26.6,2.42
Linhares,100,BR,21-10-2020,95,-19.39,-40.07,66.99,2.1
Sibu,20,MY,21-10-2020,78,2.3,111.82,82.4,4.7
San Cristobal,40,VE,21-10-2020,88,7.77,-72.22,77.0,3.36
Egvekinot,98,RU,21-10-2020,100,66.32,-179.17,33.94,6.26
Kibala,59,TD,21-10-2020,88,9.11,18.35,77.0,2.35
Longjiang,62,CN,21-10-2020,47,47.33,123.18,50.11,16.46
Portsmouth,100,GB,21-10-2020,94,50.8,-1.09,60.01,10.07
Arrondissement du Havre,100,FR,21-10-2020,93,49.58,0.33,57.2,11.41
Kapit,88,MY,21-10-2020,47,2.02,112.93,93.58,0.81
Malakal,65,SS,21-10-2020,83,9.53,31.66,73.06,3.53
Carlsbad,1,US,21-10-2020,93,33.16,-117.35,66.99,3.36
Ekhabi,97,RU,21-10-2020,62,53.51,142.97,48.38,15.43
Port Shepstone,97,ZA,21-10-2020,70,-30.74,30.45,64.02,8.63
Oytal,0,KZ,21-10-2020,27,42.91,73.27,61.75,2.73
Krasnogvardeyets,35,RU,21-10-2020,84,52.68,52.36,35.08,8.34
Funchal,20,PT,21-10-2020,68,32.63,-16.9,66.2,3.36
Djebeniana,0,TN,21-10-2020,72,35.03,10.91,66.2,3.36
Point Pedro,82,LK,21-10-2020,75,9.82,80.23,83.88,16.4
Barbastro,100,ES,21-10-2020,77,42.04,0.13,62.6,10.29
Cururupu,88,BR,21-10-2020,86,-1.83,-44.87,75.83,3.74
Vallenar,0,CL,21-10-2020,48,-28.57,-70.76,58.05,0.54
Kalabo,0,ZM,21-10-2020,26,-14.97,22.68,66.54,3.04
Saint Anthony,90,US,21-10-2020,99,45.02,-93.22,33.01,5.82
Kushima,75,JP,21-10-2020,69,31.46,131.23,73.4,17.22
Pemba,20,MZ,21-10-2020,94,-12.97,40.52,71.6,4.7
Daru,100,PG,21-10-2020,71,-9.08,143.21,83.17,10.47
Kudamatsu,20,JP,21-10-2020,56,34.0,131.87,75.0,3.36
Marsaxlokk,0,MT,21-10-2020,82,35.84,14.54,64.0,5.82
Ciudad Bolivar,100,VE,21-10-2020,65,8.12,-63.55,82.53,10.18
Makkah al Mukarramah,0,SA,21-10-2020,18,21.43,39.83,75.45,6.22
Nchelenge,96,ZM,21-10-2020,70,-9.35,28.73,74.14,8.14
Evensk,97,RU,21-10-2020,85,61.95,159.23,35.13,3.91
Pāvugada,100,IN,21-10-2020,90,14.1,77.27,71.98,8.37
Bokoro,0,TD,21-10-2020,17,12.38,17.06,80.47,5.88
Yamada,0,JP,21-10-2020,59,39.47,141.95,61.38,7.47
Oktyabr'skoye,95,RU,21-10-2020,93,43.06,44.74,48.2,4.47
Lethem,94,GY,21-10-2020,59,3.38,-59.8,82.58,6.51
Verkhnetulomskiy,90,RU,21-10-2020,100,68.61,31.8,28.4,2.24
Doha,0,QA,21-10-2020,57,25.29,51.53,78.8,5.82
Qaqortoq,100,GL,21-10-2020,86,60.72,-46.03,30.2,2.24
Río Gallegos,66,AR,21-10-2020,52,-51.62,-69.22,44.6,27.51
Kachīry,0,KZ,21-10-2020,55,53.07,76.1,46.71,8.99
Kuito,2,AO,21-10-2020,80,-12.38,16.93,62.1,5.28
Pando,34,UY,21-10-2020,54,-34.72,-55.95,53.6,17.22
Marshfield,90,US,21-10-2020,86,44.67,-90.17,33.8,8.05
Yei,98,SS,21-10-2020,93,4.09,30.68,66.24,4.54
Tihuatlan,2,MX,21-10-2020,94,20.72,-97.53,71.94,0.58
Innisfail,2,AU,21-10-2020,59,-17.53,146.03,81.59,9.15
Camopi,82,GF,21-10-2020,87,3.17,-52.32,75.31,4.72
Samoded,81,RU,21-10-2020,98,63.61,40.51,28.76,7.74
Grand Gaube,1,MU,21-10-2020,68,-20.01,57.66,75.99,8.99
Olbia,7,IT,21-10-2020,93,40.92,9.49,46.4,2.24
Walvis Bay,0,NA,21-10-2020,82,-22.96,14.51,57.99,8.05
Kandrian,93,PG,21-10-2020,64,-6.22,149.55,85.82,6.4
Tucurú,100,GT,21-10-2020,77,15.3,-90.07,71.65,2.35
Norman Wells,90,CA,21-10-2020,85,65.28,-126.83,23.0,16.11
Novouzensk,1,RU,21-10-2020,76,50.46,48.14,37.9,10.02
Koryukivka,100,UA,21-10-2020,86,51.77,32.25,38.43,6.26
Fort-Shevchenko,100,KZ,21-10-2020,68,44.51,50.26,57.9,19.19
Fianarantsoa,87,MG,21-10-2020,85,-21.43,47.08,56.71,4.83
Mareeba,0,AU,21-10-2020,55,-17.0,145.43,88.0,10.29
Fortuna,1,US,21-10-2020,82,40.6,-124.16,57.99,10.29
Kisi,99,NG,21-10-2020,89,9.08,3.85,72.54,4.94
Monte Santo,65,BR,21-10-2020,90,-10.44,-39.33,65.8,8.99
Ampanihy,0,MG,21-10-2020,48,-24.7,44.75,66.61,2.04
Cabedelo,75,BR,21-10-2020,94,-6.98,-34.83,75.2,11.41
Birao,2,CF,21-10-2020,70,10.28,22.79,72.03,2.84
Emerald,75,AU,21-10-2020,42,-23.53,148.17,87.01,12.75
Porosozero,0,RU,21-10-2020,98,62.72,32.73,22.66,3.96
Atasū,0,KZ,21-10-2020,44,48.68,71.64,44.87,5.01
Pangody,100,RU,21-10-2020,98,65.85,74.49,25.97,6.4
Pauini,60,BR,21-10-2020,93,-7.71,-66.98,73.08,2.06
Gaza,4,PS,21-10-2020,100,31.5,34.47,72.0,1.01
Bangassou,100,CF,21-10-2020,97,4.74,22.82,70.43,2.73
Brest,100,BY,21-10-2020,72,52.1,23.7,46.02,12.68
Boende,100,CD,21-10-2020,97,-0.22,20.87,70.5,1.21
Ishinomaki,40,JP,21-10-2020,55,38.42,141.3,64.4,5.82
Gerāsh,0,IR,21-10-2020,37,27.67,54.14,50.0,1.52
Mwinilunga,0,ZM,21-10-2020,60,-11.74,24.43,62.04,4.85
Warrnambool,21,AU,21-10-2020,68,-38.38,142.48,63.0,8.3
Mānsa,0,IN,21-10-2020,19,29.98,75.38,76.24,5.1
Nova Borova,99,UA,21-10-2020,76,50.69,28.63,41.58,9.93
Maxixe,19,MZ,21-10-2020,90,-23.86,35.35,72.55,10.74
Elgin,90,US,21-10-2020,93,42.04,-88.28,48.99,11.41
Faya,0,SA,21-10-2020,25,18.39,42.45,55.4,6.93
Wakkanai,40,JP,21-10-2020,58,45.41,141.67,59.0,16.11
Ancud,0,CL,21-10-2020,75,-41.87,-73.82,45.0,9.17
Shache,0,CN,21-10-2020,30,38.42,77.24,56.77,3.78
Turaif,0,SA,21-10-2020,30,31.67,38.66,57.2,5.82
Shahrud,0,IR,21-10-2020,44,36.42,54.98,51.75,2.95
Zhigansk,100,RU,21-10-2020,96,66.77,123.37,19.02,0.38
Linqing,0,CN,21-10-2020,25,36.85,115.71,63.64,12.97
Constitución,33,CL,21-10-2020,78,-35.33,-72.42,51.06,13.58
Erenhot,100,CN,21-10-2020,69,43.65,111.98,34.03,16.22
Libreville,20,GA,21-10-2020,88,0.39,9.45,78.8,4.7
Mitú,100,CO,21-10-2020,96,1.2,-70.17,73.2,2.04
Xining,0,CN,21-10-2020,44,36.62,101.77,46.13,1.68
Sibolga,65,ID,21-10-2020,60,1.74,98.78,86.27,3.87
Maniitsoq,100,GL,21-10-2020,89,65.42,-52.9,33.73,22.66
Enshi,5,CN,21-10-2020,60,30.3,109.48,67.17,0.78
Roald,100,NO,21-10-2020,93,62.58,6.13,41.0,14.99
Ola,0,RU,21-10-2020,80,59.58,151.28,31.35,3.44
Imbituba,75,BR,21-10-2020,100,-28.24,-48.67,71.6,8.05
Listvyagi,69,RU,21-10-2020,70,53.68,86.95,40.46,4.92
Kampil,0,IN,21-10-2020,35,27.62,79.28,77.83,2.91
Meulaboh,84,ID,21-10-2020,63,4.14,96.13,85.3,4.32
Malinovskiy,3,RU,21-10-2020,98,61.2,62.84,27.73,4.14
Biak,58,ID,21-10-2020,62,-0.91,122.88,84.4,8.05
Jiangkou,90,CN,21-10-2020,69,25.49,119.2,73.4,11.18
Mount Gambier,90,AU,21-10-2020,59,-37.83,140.77,62.6,10.29
